id;status;coupon;receive
1;SENT;monitor;2023-02-19T11:08:44
2;RECEIVED;holistic Peso Handcrafted;2023-02-19T10:43:31
3;RECEIVED;Berkshire Buckinghamshire;2023-02-19T09:45:46
4;RECEIVED;circuit Account Outdoors;2023-02-19T18:36:54
5;SENT;synergize;2023-02-19T11:20:07
6;RECEIVED;Account online deliverables;2023-02-20T05:20:53
7;SENT;Factors multi-tasking;2023-02-20T08:00:40
8;RETURNED;Cotton olive Response;2023-02-19T18:39:51
9;RETURNED;Minnesota;2023-02-19T21:01:34
10;PROCESSING;Bedfordshire;2023-02-20T06:29:39
