id;name;brand;rate;description
1;Steel;Assistant;57374;monetize Consultant wireless
2;Handmade;Dynamic Pound withdrawal;88209;Unbranded Soap
3;applications Metical;throughput;46442;transmitting New Bedfordshire
4;Malagasy intranet;neutral;4184;Business-focused
5;Rubber;aggregate Security Data;35518;Dynamic Sports
6;Mexico yellow Cape;Ethiopia;66238;Rubber Chips
7;Keyboard;Center black pixel;28408;optical Cheese
8;multi-byte Underpass project;Computer Arizona mobile;44109;User-friendly Data navigate
9;Harbors Automotive;Checking system-worthy;9545;Brand
10;Plastic Cambridgeshire;Automotive;53352;Zimbabwe Games Balboa
